"id","#Organism/Name","Strain","Size (Mb)","TotalScore","SequenceScore","Phylogroup","Bioproject","Biosample","Pasteur_MLST","Achtman_MLST","Patric_Serovar","Patric_Pathovar","Patric_MLST","Patric_Other_Typing","Patric_Publication","Patric_Sequencing_Centers","Patric_Sequencing_Platform","Patric_Sequencing_Depth","Patric_Assembly_Method","Patric_Isolation_Source","Patric_Isolation_Comments","Patric_Isolation_Country","Patric_Collection_Date","Patric_Geographic_Location","Patric_Host_Name","Patric_Host_Health","Patric_Disease","Patric_Body_Sample_Site","Patric_Other_Clinical","PCR_Products","Quadruplex","Clermont_Specific","PCR_Phylogroup","Mash_dist_Phylogroup","Mash_screen_Phylogroup","Abram_Concat_Phylogroup","Boolean_Mash_screen_Mash_dist","Boolean_Abram_Phylogroup_PCR_Phylogroup","Boolean_Abram_Phylogroup_Mash_screen","Boolean_Abram_Phylogroup_Mash_dist","Boolean_PCR_Phylogroup_Mash_screen","Boolean_PCR_Phylogroup_Mash_dist"
"GCA_002462825.1","Escherichia coli","MOD1-EC309","4.74748","0.95","0.82","B1","PRJNA230969","SAMN05591513","-","2473",,,,,,"FDA/CFSAN","Illumina NextSeq 500","66.3x","SPAdes v. 3.8.2",,,"Brazil","2015","Brazil",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002514185.1","Escherichia coli","MOD1-EC6327","4.73424","0.96","0.83","B1","PRJNA230969","SAMN05464564","-","2536","O81:H14",,"MLST.Escherichia_coli_1.2536",,,"FDA/CFSAN","Illumina NextSeq 500","35.7x","SPAdes v. 3.8.2","ground beef",,"United States","4-Aug-87","USA: MI",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002248665.1","Shigella sonnei","ECH+14","4.80204","0.93","0.84","B1","PRJNA389557","SAMN07450669","-","196",,,,,,"JCVI","Illumina NextSeq 500","169.28x","SPAdes v. 3.1.1","Healthy person",,"Thailand","11/20/14","Thailand: Lamphun","Human, Homo sapiens","healthy",,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000797605.1","Escherichia coli","CVM N36963PS","4.83641","0.94","0.85","B1","PRJNA266657","SAMN03177674","910","6419",,,"MLST.Escherichia_coli_1.6419,MLST.Escherichia_coli_2.910",,"26142410","FDA","Illumina MiSeq","72.0x","CLC Genomics Workbench v. 7.5","cattle",,"United States","20-Jan-12","United States",,,,"faecal",,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002319735.1","Escherichia coli","C056","4.776","0.88","0.92","B1","PRJNA383591","SAMN07488842","-","2165","O-:H7","STEC","MLST.Escherichia_coli_1.2165",,,"USDA","Illumina MiSeq","86.66x","SPAdes v. 3.9","feces","isolated from different sources to understand how pathogens respond to food-related stresses and cause disease, and to identify biomarkers","United States","2014","USA: Ohio","Pig, Sus scrofa","asymptomatic",,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002520805.1","Escherichia coli","MOD1-EC6837","4.67068","0.96","0.84","B1","PRJNA230969","SAMN04992203","399","2144",,,"MLST.Escherichia_coli_1.2144,MLST.Escherichia_coli_2.399",,,"FDA/CFSAN","Illumina NextSeq 500","45.6x","SPAdes v. 3.8.2","rectum",,"United States","9-Jul-96","USA: CA","Ammotragus lervia",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002248165.1","Shigella sonnei","ECH+19","4.88814","0.91","0.84","B1","PRJNA389557","SAMN07450664","-","2165",,,,,,"JCVI","Illumina NextSeq 500","178.16x","SPAdes v. 3.1.1","Healthy person",,"Thailand","11/20/14","Thailand: Lamphun","Human, Homo sapiens","healthy",,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002519195.1","Escherichia coli","MOD1-EC6954","5.04798","0.94","0.75","B1","PRJNA230969","SAMN04992320","-","6555","O18:H4",,"MLST.Escherichia_coli_1.6555",,,"FDA/CFSAN","Illumina NextSeq 500","65.1x","SPAdes v. 3.8.2","cecum",,"United States","30-Jan-98","USA: CA","Meleagris",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_001700035.1","Escherichia coli","001PP2015","4.8421199999999995","0.8","0.9","B1","PRJNA319144","SAMN05377240","-","4623",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000812785.1","Escherichia coli","EC2_6","4.8982800000000015","0.84","0.75","B1","PRJNA269673","SAMN03256250","-","4623",,,"MLST.Escherichia_coli_1.4623",,"-","University of Malaya","Illumina HiSeq","40.0x","CLC NGS Cell v. 2014-12-09","Intestine",,"Malaysia","15-Sep-13","Malaysia: Melaka","Chicken, Gallus gallus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_001901445.1","Escherichia coli","S56","4.99252","0.95","0.99","B1","PRJNA269191","SAMN03252458","399","3501",,,,,,"Nanjing Agricultural University","Illumina Miseq; Roche 454 GS Junior","30-80x","Newbler v. 2.7","forest soil",,,"2014",,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002536475.1","Escherichia coli","MOD1-EC6108","4.79228","0.93","0.83","B1","PRJNA230969","SAMN05439507","-","191","O128:H9",,,,,"FDA/CFSAN","Illumina NextSeq 500","26.1x","SPAdes v. 3.8.2","Colon",,"United States","10/20/11","USA:AK","Dog, Canis lupus familiaris",,,,,"ybgD, trpA, trpBA, arpA, trpAgpC","+, -, -, -","trpAgpC","A","B1","B1","B1","True","False","True","True","False","False"
"GCA_002468725.1","Escherichia coli","MOD1-EC6613","4.63681","0.95","0.88","B1","PRJNA230969","SAMN04992443","524","4038",,,"MLST.Escherichia_coli_2.524",,,"FDA/CFSAN","Illumina NextSeq 500","34.7x","SPAdes v. 3.8.2","feces",,"Mexico","6-Feb-91","Mexico","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_001269225.1","Escherichia coli","Beef cow fecal","4.729769999999999","0.94","0.88","B1","PRJEB10159","SAMEA3498449","-","5552",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_003048045.1","Escherichia coli","KG-17","4.68689","0.97","0.87","B1","PRJNA352562","SAMN08823355","-","4496",,,"MLST.Escherichia_coli_1.4496",,,"University of Florida","Illumina MiSeq","56.9x","SPAdes v. 3.0","feces",,"United States","9/25/15","United States","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002544095.1","Escherichia coli","MOD1-EC5975","5.05658","0.95","0.79","B1","PRJNA230969","SAMN05439419","-","4496",,,"MLST.Escherichia_coli_1.4496",,,"FDA/CFSAN","Illumina NextSeq 500","30.8x","SPAdes v. 3.8.2","Food, Spinach",,"United States","10/15/09","USA:OH",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002515545.1","Escherichia coli","MOD1-EC3864","5.06082","0.95","0.79","B1","PRJNA230969","SAMN05296570","-","4496","O8:H28",,"MLST.Escherichia_coli_1.4496",,,"FDA/CFSAN","Illumina NextSeq 500","50.0x","SPAdes v. 3.8.2",,,"United States","2016","United States",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002515915.1","Escherichia coli","MOD1-EC3858","5.0652800000000004","0.92","0.78","B1","PRJNA230969","SAMN05296567","-","4496","O8:H28",,"MLST.Escherichia_coli_1.4496",,,"FDA/CFSAN","Illumina NextSeq 500","94.3x","SPAdes v. 3.8.2","flour",,"United States","2016","United States",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000713315.1","Escherichia coli 6-537-08_S3_C3","6-537-08_S3_C3","5.207330000000002","0.94","0.84","B1","PRJNA233856","SAMN02680261","-","192",,,"MLST.Escherichia_coli_2.399",,"-","IGS","Illumina","115.29x","MaSuRCA v. 2.0.3.1","stool",,"Tanzania","2009","Tanzania","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000713415.1","Escherichia coli 6-537-08_S3_C2","6-537-08_S3_C2","5.1607","0.91","0.84","B1","PRJNA233831","SAMN02680158","-","192",,,"MLST.Escherichia_coli_2.399",,"-","IGS","Illumina","77.81x","MaSuRCA v. 2.0.3.1","stool",,"Tanzania","2009","Tanzania","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000713265.1","Escherichia coli 6-537-08_S3_C1","6-537-08_S3_C1","5.16828","0.93","0.84","B1","PRJNA233803","SAMN02680229","-","192",,,"MLST.Escherichia_coli_2.399",,"-","IGS","Illumina","74.98x","MaSuRCA v. 2.0.3.1","stool",,"Tanzania","2009","Tanzania","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002930295.1","Escherichia coli","DE1","4.92636","0.87","0.69","B1","PRJNA432289","SAMN08442435","-","-",,,"MLST.Escherichia_coli_1.211",,,"South China Agricultural University","Illumina Miseq","100x","SOAPdenove v. 2016",,,"China","2017","China: Guangzhou","fish",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002155465.1","Escherichia coli","AUH_IMP205","4.806780000000002","0.94","0.87","B1","PRJNA369342","SAMN06284414","-","192",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002231155.1","Escherichia coli","MOD1-EC5216","4.83855","0.84","0.76","B1","PRJNA230969","SAMN04279550","-","129",,,,,,"FDA/CFSAN","Illumina NextSeq 500","32.7x","SPAdes v. 3.8.2","Intestine",,"United States","1-Jan-76","USA:PA","Dog, Canis lupus familiaris",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000781435.1","Escherichia coli","upec-104","4.7779300000000005","0.94","0.87","B1","PRJNA248737","SAMN02801914","-","129",,,,,"25373147","University of Washington","Illumina HiSeq","40x","ABYSS v. 1.3.5","patient with urinary tract infection",,"United States","2011","USA: WA","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002511115.1","Escherichia coli","MOD1-EC6363","4.6563300000000005","0.89","0.75","B1","PRJNA230969","SAMN04993221","-","1611","O141:H10",,"MLST.Escherichia_coli_2.368",,,"FDA/CFSAN","Illumina NextSeq 500","34.7x","SPAdes v. 3.8.2","feces",,"United States","9-Oct-87","USA: TX","parrot",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_001269245.1","Escherichia coli","YS river water","4.6807099999999995","0.92","0.89","B1","PRJEB10174","SAMEA3498464","-","3549",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002761675.1","Escherichia coli","ABU 1","4.57801","0.91","0.92","B1","PRJNA415978","SAMN07839395","537","205",,,"MLST.Escherichia_coli_1.205,MLST.Escherichia_coli_2.537",,,"University of Muenster","Illumina MiSeq","285x","SPAdes v. v3.9.0","urinary tract of patient suffering from type-2 diabetes",,"Hungary","2010","Hungary","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002173215.1","Escherichia coli","2013-6-193B","4.7131","0.85","0.81","B1","PRJNA230969","SAMN06759965","-","129",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002243825.1","Escherichia coli","53-1034","4.7225","0.98","0.94","B1","PRJNA269984","SAMN03262731","-","2351",,,"MLST.Escherichia_coli_1.2351,MLST.Escherichia_coli_2.323",,,"Broad Institute","Illumina","129.0x","allpaths v. R48559","urine",,"United States",,"USA: Seattle",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000326685.1","Escherichia coli KTE138","KTE138","4.6310400000000005","0.81","0.85","B1","PRJNA157695","SAMN00847706","-","2351",,,"MLST.Escherichia_coli_1.2351",,,"Broad Institute","Illumina","79.0x","allpaths v. R42557","faecal","2010",,"2010",,"Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_001284245.1","Escherichia coli","402097_aEPEC","4.86209","0.94","0.85","B1","PRJEB2827","SAMEA1466180","-","5508",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002518365.1","Escherichia coli","MOD1-EC7001","4.7948900000000005","0.95","0.79","B1","PRJNA230969","SAMN04992367","-","129",,,"MLST.Escherichia_coli_1.129",,,"FDA/CFSAN","Illumina NextSeq 500","46.1x","SPAdes v. 3.8.2","water",,"United States","7-Aug-01","USA: NY",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_001901125.1","Escherichia coli","M10","4.9548","0.95","0.99","B1","PRJNA269191","SAMN03252444","-","6994",,,,,,"Nanjing Agricultural University","Il;lumina Miseq; Roche 454 GS Junior","30-80x","Newbler v. 2.7","feces",,,"2014",,"Mouse, Mus musculus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_001012085.1","Escherichia coli","CFSAN026834","4.76931","0.9","0.89","B1","PRJNA230969","SAMN03455849","-","5014",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_001191355.1","Escherichia coli","CFSAN026832","4.8509400000000005","0.86","0.84","B1","PRJNA230969","SAMN03455847","-","5014",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_001007915.1","Escherichia coli","CFSAN029787","5.28895","1","1","B1","PRJNA243331","SAMN03612246","-","99","O96:H19",,,,"26251502","FDA/CFSAN","PacBio RS","350X","SMRT Portal HGAP v. 2.3.0","Stool sample",,"Italy","4/15/12","Italy:Milan","Human, Homo sapiens","none",,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000354295.1","Escherichia coli BCE002_MS12","BCE002_MS12","4.94644","0.81","0.84","B1","PRJNA77459","SAMN00829290","-","-",,,"MLST.Escherichia_coli_1.5587,MLST.Escherichia_coli_2.5",,,"IGS","Illumina","200x","Celera Assembler v. 7.0","stool",,"Bangladesh","2003","Bangladesh","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000355495.2","Escherichia coli BCE001_MS16","BCE001_MS16","4.9934400000000005","0.99","0.96","B1","PRJNA77309","SAMN00829287","5","5587",,,"MLST.Escherichia_coli_1.5587,MLST.Escherichia_coli_2.5",,,"IGS","Illumina and 454","55.43x","Celera Assembler v. 7.0","stool",,"Bangladesh","2003","Bangladesh","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002516705.1","Escherichia coli","MOD1-EC5144","4.78731","0.9","0.78","B1","PRJNA230969","SAMN04279482","-","205",,,"MLST.Escherichia_coli_1.205,MLST.Escherichia_coli_2.537",,,"FDA/CFSAN","Illumina NextSeq 500","50.1x","SPAdes v. 3.8.2","small intestine",,"United States","9-May-07","USA: PA","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002535455.1","Escherichia coli","MOD1-EC6126","4.87649","0.93","0.8","B1","PRJNA230969","SAMN05439569","-","192","O178:H19",,,,,"FDA/CFSAN","Illumina NextSeq 500","28.8x","SPAdes v. 3.8.2","feces",,"United States","4/20/12","USA:TX","Horse, Equus caballus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002109945.1","Escherichia coli T426","T426","5.10192","0.92","0.78","B1","PRJNA39059","SAMN06392862","302","1125",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_003145375.1","Escherichia coli","Sum2013_WWKa_OUT_31","4.83458","0.86","0.76","B1","PRJNA380388","SAMN06641859","302","1125",,,"MLST.Escherichia_coli_2.302",,,"BIOTEC","Illumina MiSeq","10.0x","ABySS v. 1.5.2","wastewater outflow",,"Germany","6-Aug-13","Germany: Dresden-Kaditz",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002232385.1","Escherichia coli","MOD1-EC5073","4.95971","0.92","0.78","B1","PRJNA230969","SAMN04279410",,,,,"MLST.Escherichia_coli_1.6562",,,"FDA/CFSAN","Illumina NextSeq 500","41.8x","SPAdes v. 3.8.2","Liver",,"United States","15-Oct-04","USA:CA","avian",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002517065.1","Escherichia coli","MOD1-EC5200","4.9743","0.94","0.74","B1","PRJNA230969","SAMN04448471","-","675",,,"MLST.Escherichia_coli_1.675",,,"FDA/CFSAN","Illumina NextSeq 500","59.4x","SPAdes v. 3.8.2","intestine",,"United States","16-Jul-71","USA: PA","Odocoileus virginianus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002810265.1","Escherichia coli","1724","5.2121","0.92","0.69","B1","PRJNA420060","SAMN08104942","-","2722",,,,,,"Universite Paris Sud","Illumina MiSeq","218.0x","CLC NGS Cell v. 9.5","urine",,"Argentina","2016","Argentina: Buenos Aires","Human, Homo sapiens","urinary infection",,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002226735.1","Escherichia coli","MOD1-EC5678","5.18708","0.94","0.84","B1","PRJNA230969","SAMN05452860","-","6185","O14:H8",,"MLST.Escherichia_coli_1.6185",,,"FDA/CFSAN","Illumina MiSeq","60.4x","SPAdes v. 3.8.2","Feces",,"United States","9-Sep-80","USA:CO","Chicken, Gallus gallus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002233455.1","Escherichia coli","MOD1-EC5010","4.74654","0.93","0.81","B1","PRJNA230969","SAMN04279338","339","388",,,"MLST.Escherichia_coli_2.339",,,"FDA/CFSAN","Illumina NextSeq 500","24.2x","SPAdes v. 3.8.2","Intestine",,"United States","30-May-01","USA:VA","Pig, Sus scrofa",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002543545.1","Escherichia coli","MOD1-EC5992","4.84778","0.94","0.86","B1","PRJNA230969","SAMN05439434","339","388","O112:H2",,"MLST.Escherichia_coli_2.339",,,"FDA/CFSAN","Illumina NextSeq 500","31.0x","SPAdes v. 3.8.2","milk",,"United States","2/26/10","USA:NY","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002233035.1","Escherichia coli","MOD1-EC5064","4.65752","0.9","0.78","B1","PRJNA230969","SAMN04279401","-","6239",,,"MLST.Escherichia_coli_2.339",,,"FDA/CFSAN","Illumina NextSeq 500","63.2x","SPAdes v. 3.8.2","Feces",,"United States","17-Oct-03","USA:CO","Goose",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002547165.1","Escherichia coli","MOD1-EC6079","4.65555","0.9","0.79","B1","PRJNA230969","SAMN06555242","-","6239","O10:H42",,"MLST.Escherichia_coli_2.339",,,"FDA/CFSAN","Illumina NextSeq 500","23.7x","SPAdes v. 3.8.2","Uterus",,"United States","2/9/11","USA:MI","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002511345.1","Escherichia coli","MOD1-EC6336","4.7689","0.89","0.77","B1","PRJNA230969","SAMN05440430","339","388","O38:H11",,"MLST.Escherichia_coli_2.339",,,"FDA/CFSAN","Illumina NextSeq 500","42.0x","SPAdes v. 3.8.2","ground beef",,"United States","4-Aug-87","USA: MI",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_003027475.1","Escherichia coli","13561-5","4.9160900000000005","0.93","0.8","B1","PRJNA230969","SAMN08668645","339","388",,,"MLST.Escherichia_coli_2.339",,,"FDA/CFSAN","Illumina MiSeq","55.3x","SPAdes v. 3.8.2","intestine-XLT4",,"United States","24-Apr-95","USA:CA","Branta canadensis leucopareia",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002514115.1","Escherichia coli","MOD1-EC6332","4.787059999999999","0.92","0.77","B1","PRJNA230969","SAMN05440432",,,"O4:H42",,"MLST.Escherichia_coli_2.339",,,"FDA/CFSAN","Illumina NextSeq 500","40.0x","SPAdes v. 3.8.2","food, ground beef-Food Sample",,"United States","4-Aug-87","USA: MI",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002229965.1","Escherichia coli","MOD1-EC5490","4.73346","0.96","0.84","B1","PRJNA230969","SAMN05440351","-","210",,,"MLST.Escherichia_coli_1.210,MLST.Escherichia_coli_2.831",,,"FDA/CFSAN","Illumina NextSeq 500","55.0x","SPAdes v. 3.8.2","Water",,"United States","8-Nov-93","USA:NY",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002512605.1","Escherichia coli","MOD1-EC6348","4.74806","0.95","0.82","B1","PRJNA230969","SAMN05440422",,,"O87:H10",,"MLST.Escherichia_coli_1.469,MLST.Escherichia_coli_2.828",,,"FDA/CFSAN","Illumina NextSeq 500","40.1x","SPAdes v. 3.8.2","feces",,"United States","13-Oct-87","USA: TX","parrot",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_000703525.1","Escherichia coli 2-156-04_S3_C1","2-156-04_S3_C1","4.98689","0.93","0.84","B1","PRJNA233777","SAMN02680197",,,,,"MLST.Escherichia_coli_1.469,MLST.Escherichia_coli_2.828",,"-","IGS","Illumina","83.61x","MaSuRCA v. 2.0.3.1","stool",,"Tanzania","2009","Tanzania","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002456385.1","Escherichia coli","MOD1-EC912","4.83183","0.93","0.82","B1","PRJNA230969","SAMN06049444","-","1582",,,"MLST.Escherichia_coli_1.1582",,,"FDA/CFSAN","Illumina NextSeq 500","39.9x","SPAdes v. 3.8.2","feces",,"Mexico","2002","Mexico","Tayassu pecari",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA, trpAgpC","+, -, -, +","trpAgpC","B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002463665.1","Escherichia coli","MOD1-EC5917","4.72254","0.93","0.83","B1","PRJNA230969","SAMN05452852","-","6600","O2:H21",,"MLST.Escherichia_coli_1.6600",,,"FDA/CFSAN","Illumina NextSeq 500","31.6x","SPAdes v. 3.8.2","water",,"United States","9/10/85","USA: AZ",,,,,,"ybgD, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
"GCA_002462865.1","Escherichia coli","MOD1-EC294","4.60216","0.94","0.84","B1","PRJNA230969","SAMN06045566","-","-",,,,,,"FDA/CFSAN","Illumina NextSeq 500","46.8x","SPAdes v. 3.8.2","imported shrimp",,"United States","1985","USA: MA",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","B1","True","True","True","True","True","True"
